697,2,496,498
697,3,495,498
697,4,494,498
695,5,491,496
694,6,490,496
694,7,489,496
694,8,488,496
690,9,482,491
687,10,481,491
683,11,476,487
681,12,475,487
681,13,474,487
681,14,473,487
679,15,470,485
678,16,469,485
672,17,462,479
669,18,461,479
667,19,458,477
666,20,457,477
666,21,456,477
666,22,455,477
664,23,452,475
663,24,451,475
657,25,444,469
654,26,443,469
652,27,440,467
651,28,438,466
641,29,428,457
638,30,427,457
638,31,425,456
637,32,424,456
637,33,423,456
637,34,422,456
637,35,421,456
637,36,420,456
637,37,419,456
637,38,418,456
637,39,416,455
636,40,415,455
631,41,408,449
628,42,407,449
627,43,405,448
626,44,404,448
624,45,401,446
623,46,400,446
624,47,399,446
623,48,398,446
623,49,397,446
623,50,396,446
621,51,393,444
620,52,392,444
618,53,389,442
617,54,388,442
618,55,387,442
617,56,386,442
612,57,379,436
609,58,378,436
586,59,359,418
582,60,358,418
571,61,349,410
570,62,348,410
569,63,345,408
568,64,344,408
572,65,345,410
570,66,344,410
566,67,339,406
565,68,337,405
563,69,334,403
562,70,333,403
562,71,332,403
562,72,331,403
563,73,330,403
562,74,329,403
563,75,327,402
561,76,326,402
551,77,316,393
548,78,315,393
538,79,304,383
536,80,301,381
534,81,297,378
532,82,296,378
532,83,295,378
532,84,294,378
532,85,293,378
532,86,291,377
532,87,290,377
531,88,289,377
529,89,285,374
527,90,284,374
524,91,279,370
523,92,277,369
522,93,276,369
522,94,272,366
519,95,271,366
519,96,270,366
519,97,269,366
517,98,265,363
516,99,262,361
514,100,261,361
